identifier,process,crossSection=-1,BR=1,execute=True,dataset,prefix,pattern,splitLevel,::variables,::pyFragments,comment


ggH0L1_M125, ,-1,0,,/Higgs0L1ToZZTo4L_M125_13TeV_powheg2_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1_prime2=1;SPIN=0;REWEIGHTING_TYPE=HVV_spin012;APPLY_K_NNLOQCD_ZZGG=2;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=1609350658.37|853637000.205|758989735.507|-1.0|5670247394.71|5824326248.45|784365919.398|3.09139419932e+13,,
ggH0L1f05ph0_M125, ,-1,0,,/Higgs0L1f05ph0ToZZTo4L_M125_13TeV_powheg2_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;ghz1_prime2=-12100.42;REWEIGHTING_TYPE=HVV_spin012;APPLY_K_NNLOQCD_ZZGG=2;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=3460.88014434|1226.44845015|593.45241543|2.42381331034e-05|13138.1639127|7032.46702021|1.08896774681|108959115.499,,
ggH0M_M125, ,-1,0,,/Higgs0MToZZTo4L_M125_13TeV_powheg2_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz4=1;REWEIGHTING_TYPE=HVV_spin012;APPLY_K_NNLOQCD_ZZGG=2;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=314.902169678|143.969557361|-1.0|2.43960661664e-06|1372.19007344|354.501041064|28.4482958939|8514705.6576,,
ggH0Mf05ph0_M125, ,-1,0,,/Higgs0Mf05ph0ToZZTo4L_M125_13TeV_powheg2_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;ghz4=2.55052;REWEIGHTING_TYPE=HVV_spin012;APPLY_K_NNLOQCD_ZZGG=2;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=1.39331649781|0.921240498614|0.175836705789|1.32568152932e-08|7.37544940514|1.00348667337|0.502427568543|66495.7948328,,
ggH0PH_M125, ,-1,0,,/Higgs0PHToZZTo4L_M125_13TeV_powheg2_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz2=1;REWEIGHTING_TYPE=HVV_spin012;APPLY_K_NNLOQCD_ZZGG=2;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=45.0391932983|-1.0|4.12795165405|2.76857747804e-07|62.819777185|67.8954567139|12.0873060898|1046399.1949,,
ggH0PHf05ph0_M125, ,-1,0,,/Higgs0PHf05ph0ToZZTo4L_M125_13TeV_powheg2_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;ghz2=1.65684;REWEIGHTING_TYPE=HVV_spin012;APPLY_K_NNLOQCD_ZZGG=2;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=0.906817626393|0.20075873875|0.193736699766|5.83157200023e-09|1.0055692662|1.62666106102|0.491610062802|29701.6903922,,
ggH0PM_M125, ,-1,0,,/Higgs0PMToZZTo4L_M125_13TeV_powheg2_JHUgenV6_pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,dbs,,2,ghz1=1;REWEIGHTING_TYPE=HVV_spin012;APPLY_K_NNLOQCD_ZZGG=2;PRODANOMALOUS=True;REWEIGHTING_CUTOFFS=-1.0|1.91080768954|1.68689362191|1.56757532611e-08|10.3740275822|11.9579015718|0.604528290564|122637.037966,,

